"Section","Parameter","Estimate_Lin","Estimate_IS"
"Fixed Effects","CL_pop",26.7734,NA
"Fixed Effects","V1_pop",53.3257,NA
"Fixed Effects","Q_pop",30.4686,NA
"Fixed Effects","V2_pop",62.7671,NA
"Covariate Effects","SEX_CL",0.2654,NA
"Covariate Effects","WT_CL",0.8277,NA
"Covariate Effects","WT_V1",0.7279,NA
"Covariate Effects","WT_Q",0.8265,NA
"Covariate Effects","WT_V2",0.51,NA
"Random Effects (SD)","omega_CL",0.2151,NA
"Random Effects (SD)","omega_V1",0.4046,NA
"Random Effects (SD)","omega_Q",0.5697,NA
"Random Effects (SD)","omega_V2",0.2399,NA
"Error Model","a",34.7879,NA
"IC","OFV",25744.56,25867.71
"IC","AIC",25772.56,25895.71
"IC","BIC",25818.6,25941.74
"IC","BICc",25831.24,25954.38
