"Section","Parameter","Estimate_Lin","Estimate_IS"
"Fixed Effects","ka_pop",1.6306,NA
"Fixed Effects","ke_pop",0.0864,NA
"Fixed Effects","V_pop",31.9728,NA
"Covariate Effects","beta_ka_weight",2.5592,NA
"Covariate Effects","beta_V_weight",0.5724,NA
"Random Effects (SD)","omega_ka",0.5324,NA
"Random Effects (SD)","omega_ke",0.153,NA
"Random Effects (SD)","omega_V",0.1321,NA
"Error Model","a",0.704,NA
"IC","OFV",330.55,332.19
"IC","AIC",348.55,350.19
"IC","BIC",352.92,354.55
"IC","BICc",362.13,363.76
