"Section","Parameter","Estimate_Lin","Estimate_IS"
"Fixed Effects","ka_pop",0.5683,NA
"Fixed Effects","ke_pop",0.0182,NA
"Fixed Effects","V_pop",7.6808,NA
"Covariate Effects","age_ke",0.376,NA
"Covariate Effects","wt_V",0.8203,NA
"Random Effects (SD)","omega_ka",0.5917,NA
"Random Effects (SD)","omega_ke",0.2144,NA
"Random Effects (SD)","omega_V",0.1127,NA
"Error Model","a",1.0489,NA
"IC","OFV",868.95,871.85
"IC","AIC",886.95,889.85
"IC","BIC",900.14,903.04
"IC","BICc",908.38,911.28
